"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","cfa04110","Cell cycle","150/7472","164/9973",0.914634146341463,1.22077707996031,4.92738233727561,4.47429580590543e-08,1.91276145702457e-07,3.47346648090027e-08,"608441/100855903/607100/480436/612854/474682/478260/482492/484335/479450/484780/474890/477471/611243/478324/477857/476294/478127/100855728/485790/484807/474494/481526/474176/403429/100855664/607060/479616/479444/475525/489226/489818/480527/475750/476847/100682599/403869/486745/449494/449028/483370/479492/480349/476196/492111/490280/487309/609937/479123/477302/482021/607083/486338/477871/476070/475512/481806/474991/478575/479955/480645/608420/478868/484610/480928/100856079/476141/481131/611782/475359/476131/474916/480963/475035/480190/609269/488596/487057/476915/403924/610519/477237/100687866/490796/607720/477166/479103/475453/611216/403693/609033/476817/100855917/479307/482873/481679/479866/480497/608342/486014/100855704/607879/485674/485839/477099/100856315/486098/479156/486264/611103/477221/608350/488239/609767/486886/609426/612020/487351/490924/612071/483755/481207/486421/609080/609673/487443/100684945/480957/610902/480144/489971/610456/490523/489228/485059/490050/485069/491292/479926/608847/481563/475219/609920/484198/481839/481895/484622/483845/100855774/610343",150
"Environmental Information Processing","Signaling molecules and interaction","cfa04060","Cytokine-cytokine receptor interaction","241/7472","274/9973",0.87956204379562,1.17396577392582,5.04694225651692,4.57566476107895e-08,1.93194734356667e-07,3.50830696431004e-08,"100856468/479117/100856077/489077/477039/486537/486506/449478/480602/100856301/100313495/478484/481628/612271/403584/611453/480604/488762/481330/611168/609266/483464/403433/483697/607768/448802/448787/480603/403439/487739/403449/609293/476587/489957/477603/448786/448798/448795/448793/448792/448790/448789/445452/445451/442934/403545/486728/450207/488241/484789/491148/491952/608156/478432/481408/482196/476140/489188/609964/403468/403469/610536/486469/479580/486759/607605/478041/609830/488540/449622/489223/100174780/403522/610118/610078/612582/481276/403721/488596/403586/403790/403660/403634/403850/403974/403985/403782/403795/403810/403931/403821/403851/403870/403923/403628/403964/403977/403981/404002/403402/403785/403801/442941/403796/442968/442935/487141/478404/490796/478757/480601/403922/403541/477702/484907/448796/403623/480600/403989/477162/477270/612276/485545/100856510/606826/483957/487212/481110/486042/100686057/100686137/483068/611869/611873/610734/607671/481497/610961/607422/485850/100856447/751768/484002/487265/100686212/100855862/488361/491935/478715/608923/481153/607183/491709/481712/490265/609203/609213/611377/480252/489378/611921/100855822/610823/612279/445454/484790/484791/484792/608840/484793/488126/489028/100855848/484080/442990/100686938/100855878/100855912/490695/484822/484828/611674/490356/487437/607785/607514/491011/611149/608246/100682918/487438/489915/491071/607880/403976/608011/484943/403622/489193/448788/609580/489550/609732/611306/485018/479363/100684674/485043/489600/606971/485072/489632/608274/611795/608988/481558/100686162/611406/403616/100855436/481588/481305/481327/611438/611442/481328/481837/481838/474944/481688/612608/483245/609418/483880/106557449/485590/485600/484661/612539/485200/476553",241
"Human Diseases","Cancer: specific types","cfa05213","Endometrial cancer","58/7472","58/9973",1,1.33471627408994,4.4187271636926,5.04937867313222e-08,2.10596037342831e-07,3.82430477169192e-08,"477019/449021/479139/442964/479875/474890/100856339/491857/100855728/481954/478347/403872/483626/609956/403869/449028/483312/403871/474698/484648/489647/490099/478575/100855877/477085/487432/611939/403523/477575/442858/403657/403735/403832/403883/403924/404306/477032/487235/476836/483088/612070/479180/486894/490903/488084/478507/489008/490682/483763/491860/481506/481744/490878/485069/485084/489644/484198/475526",58
"Environmental Information Processing","Signal transduction","cfa04071","Sphingolipid signaling pathway","115/7472","123/9973",0.934959349593496,1.24790545951498,4.78160010415551,6.6517278373178e-08,2.74083243417191e-07,4.97719647941344e-08,"489968/474652/100683675/480436/442859/403784/485773/449021/477160/403416/478053/477892/610262/484335/442964/479875/100856339/477374/100856386/477582/489032/485334/403856/490395/478666/482897/479577/479444/478347/403872/484401/476215/484959/476034/102154318/609956/490901/490904/403869/480349/480289/403871/490280/442957/483662/484648/477746/481806/100855877/480673/611262/611810/477085/403954/475032/485672/611939/100855509/100856377/403523/478464/477611/477575/478227/403453/403634/403658/403735/403799/478970/403805/403832/403928/487235/403955/403922/483187/481271/607925/482873/488387/100856190/403961/491587/478505/488084/487329/607023/403798/483729/483755/100683817/488167/486461/490728/479473/480403/610828/490854/480181/490878/485008/611739/612082/612821/489644/484192/484199/609934/100855828/482970/485167/483329/485766/106559217",115
"Genetic Information Processing","Folding, sorting and degradation","cfa04141","Protein processing in endoplasmic reticulum","158/7472","174/9973",0.908045977011494,1.21198374313914,4.87572297769158,7.18552308125979e-08,2.92553439737006e-07,5.31260478439007e-08,"479406/483784/474652/476688/478007/476275/100683583/489300/403416/476312/474682/475086/611581/477142/481590/474993/478143/481080/606935/476055/479892/478178/100685961/475608/474494/403951/478231/485004/483745/486842/477223/480118/479458/483141/476419/476966/476215/609416/477209/607587/607653/479603/474503/478279/476130/489039/403809/476101/479410/485037/480229/484941/483746/476381/483369/100682555/487269/481656/608300/478523/477322/608578/486362/611781/475512/478826/477746/100683427/480409/487898/474419/478617/612742/480673/478453/480361/100685242/488956/474850/476089/475595/480726/478813/484922/475016/475668/478664/100500800/489684/100855957/607791/476694/403523/477532/478464/488660/474855/403950/474919/480438/479441/477482/474593/474733/606991/481509/403908/403938/403948/404006/404012/404018/404019/482715/479237/480295/480238/481082/481295/474858/404017/474699/478116/478495/476516/476186/475756/483104/477124/487786/490268/476064/610766/403612/612316/480040/486406/490691/481744/481510/487444/490419/480131/491975/487650/480667/482113/491909/610506/607439/482992/610015/483007/485628/485525/485763/476547/483363",158
"Organismal Systems","Sensory system","cfa04750","Inflammatory mediator regulation of TRP channels","96/7472","101/9973",0.95049504950495,1.26864121101618,4.69011477515878,7.58004854850523e-08,3.04985482775152e-07,5.53836364534747e-08,"478013/489968/485874/474652/485773/477160/487289/607357/485864/100856339/482994/403856/403943/403859/478666/479975/100688697/475366/610385/480454/486628/476034/609956/490904/481746/494005/450240/482687/610764/489547/477746/478624/481256/477085/489692/403558/480048/478464/490031/480416/403589/403974/403658/403797/403813/415122/403881/403882/403928/487514/610255/403402/487235/403557/491218/479476/489522/403556/477612/612941/478351/102153034/486994/482664/477625/100856190/488940/487512/608811/487515/488084/486170/480271/607023/488126/488130/489050/488537/490722/482045/490404/491150/610195/607269/612821/445457/490847/489644/481328/609934/474584/100855828/482801/487146/485203/476548",96
"Human Diseases","Cancer: specific types","cfa05215","Prostate cancer","102/7472","108/9973",0.944444444444444,1.26056536997383,4.70579224407647,8.24169171156677e-08,3.27750995971609e-07,5.95177247224528e-08,"487760/478232/442860/442859/476775/449021/403416/100856477/476816/442964/479875/474890/100856339/491857/477295/480291/403426/477966/403429/100855664/403431/481330/478347/403872/609612/403588/609956/474503/475266/479460/403869/485046/442951/449028/491597/483312/403871/484648/483665/478575/100855877/477085/484610/487432/611939/477575/474919/480438/487057/403445/403885/403657/403715/476915/403735/415125/403832/403883/610255/404019/404306/442985/442986/477032/487235/476006/403693/611934/476005/482839/479866/485146/484024/482666/100855704/485839/612070/486114/483636/487501/477796/487770/488239/486894/488084/478507/491606/483729/607474/491369/607922/490682/483763/481506/490405/100684945/612303/490878/491166/489644/475526/482840",102
"Organismal Systems","Immune system","cfa04625","C-type lectin receptor signaling pathway","95/7472","100/9973",0.95,1.26798046038544,4.65512429089346,9.65939963966657e-08,3.79714330662755e-07,6.89539720193984e-08,"403486/474652/612559/477488/442859/449021/485864/442964/100856339/476188/100855872/403856/480291/475380/483925/479409/403872/486628/476413/485000/487965/609956/481746/479678/494005/490263/403871/100856347/609027/476865/484648/477746/478950/484196/479248/100855877/607899/477085/403954/489692/481111/490183/486858/478464/477575/607885/480416/442942/403586/403974/403985/403735/403628/403977/487235/403922/403989/403693/482839/478351/102153034/481110/477082/100686212/486121/477796/611649/611553/490576/488084/485930/488473/480272/607023/403798/479219/483729/611385/490926/611538/403976/490878/610451/609429/607269/612821/100683481/607492/489644/474584/484454/612349/611536/487146/476548",95
"Environmental Information Processing","Signal transduction","cfa04064","NF-kappa B signaling pathway","94/7472","99/9973",0.94949494949495,1.26730636125711,4.61990505754783,1.23027937379159e-07,4.78131302087184e-07,8.68259366671095e-08,"478013/489968/485874/442859/403416/479450/403417/476188/100855728/480291/403426/474844/609544/448786/448793/445451/486728/484028/403468/403469/477024/488471/477886/489433/484196/478151/403982/480673/611262/479464/491332/489692/449622/488770/490183/486858/490385/442942/403634/403850/403974/403975/442989/403922/448796/607076/403618/482839/100855560/478108/485545/483957/100688110/477185/100533188/486814/484006/485869/102152063/483649/491935/477796/486601/611649/607183/100856497/481712/480019/483729/491807/490926/607785/486753/489887/607947/491103/490867/611306/481245/485049/485069/492247/481268/481305/481328/484198/100271860/102156745/612286/484454/609418/483307/610524/483353",94
"Organismal Systems","Development and regeneration","cfa04380","Osteoclast differentiation","112/7472","120/9973",0.933333333333333,1.24573518915061,4.68086864373944,1.31054215690891e-07,5.03601592879604e-07,9.14511972295987e-08,"100856468/403486/474652/612559/442952/100856077/442859/449021/477039/442964/100856339/478984/479797/476477/403856/480291/481628/483925/485004/478347/480454/486628/609452/487739/474544/609956/481746/484028/483312/608412/403462/489188/481459/609027/476705/489126/477746/484196/478151/479248/100855877/609830/480673/607899/477085/475032/607700/489692/489664/481111/484306/486858/478464/415126/477575/480036/488596/403634/403974/403788/403782/403801/442949/487235/403955/403922/608843/484309/403878/482839/490792/483957/485809/100688110/100684140/486814/611255/487040/477796/611649/488084/485930/607023/100856270/483724/483729/607922/490926/491437/100855848/100856456/476714/490878/609429/490006/481245/612821/489644/611795/481277/481558/482140/482306/481328/611446/102156745/484445/484454/609418/485167/403606/476548",112
"Cellular Processes","Cellular community - eukaryotes","cfa04530","Tight junction","159/7472","176/9973",0.903409090909091,1.20579481579716,4.76098628873087,1.58563198161869e-07,6.02540153015103e-07,1.09417879433337e-07,"403580/478918/474652/475546/477535/484056/480037/478053/610262/475549/484335/485864/477374/485856/481280/480441/486079/479745/474708/474680/100684969/490740/488610/479975/485004/479577/479444/106557476/403773/479497/403649/479550/431695/474797/476215/476963/477953/607030/607207/481816/489964/489271/610601/491924/484526/483198/492302/449028/479836/606992/612856/486295/608848/488608/477746/106560075/479446/403854/478061/480369/476189/479351/403954/483225/481396/610283/403498/485088/481131/478974/100856359/478464/403614/486559/480193/403648/403728/403702/403844/403752/403883/403936/403955/479744/488526/477079/609719/477166/476565/100856416/487574/403556/485122/481054/483299/482873/475923/488160/479327/481022/491942/485669/487240/482918/482919/100856747/484724/100856405/487720/478401/487731/487746/487751/610716/100855995/100856379/491587/100686536/100174779/488609/485926/608935/100856257/609521/488036/608207/608218/100684266/478907/478686/610636/491867/608738/489466/486762/612294/484991/480181/489538/100855851/609429/489571/403852/490048/100685037/489723/489756/608397/607005/609934/100688336/482970/481944/477956/476431/485158/609568/487148/483923",159
"Human Diseases","Cardiovascular disease","cfa05414","Dilated cardiomyopathy","99/7472","105/9973",0.942857142857143,1.25844677271337,4.60154753969236,1.67169774546529e-07,6.28264427416626e-07,1.14089261980858e-07,"403580/611498/606758/481097/611066/476585/487289/607357/489967/484671/609265/477598/486563/482994/479797/478332/477021/403943/477498/403859/478820/480137/485837/490244/403516/479975/102156629/479675/486493/481598/476595/489210/491074/608977/490488/609879/488437/475738/492249/478624/100856563/100683420/483624/403532/414755/476623/482030/610342/487113/403615/612079/490031/487119/403614/480124/488596/403789/403788/403783/610255/403807/476644/497091/490796/486043/403922/100684937/483318/478353/403556/490905/403878/477733/403566/475923/481279/484420/482890/484724/477625/488368/100688870/608287/480463/610892/480271/491437/488429/480915/482045/491030/490755/489208/475233/475253/484315/611509/477956/493972",99
